config_key,group,seg_vlm,selector,topk,n_face,n_edge,face_iou,face_prec,face_rec,face_f1,edge_iou,edge_prec,edge_rec,edge_f1
baseline::PartSLIP (Default),baselines,PartSLIP (Default),-,,655,880,0.07253084073574424,0.0828189485760131,0.36784238453617585,0.11350266907398138,0.01207456594613199,0.012633287415271893,0.4215538851966974,0.022217384982720526
baseline::PartSLIP (Top-PCD),baselines,PartSLIP (Top-PCD),-,,655,880,0.061752577810026785,0.0809062148361105,0.2502252632533588,0.09701267181646231,0.011985029823919748,0.012674527779287653,0.26211599891752796,0.021485621318569237
baseline::Find3D (Default),baselines,Find3D (Default),-,,655,880,0.17114634767673997,0.1719200198052035,0.9548931679695015,0.2596364974067609,0.016861534391645276,0.016871541369925903,0.9367636020929995,0.031758807392087224
baseline::Find3D (Top-PCD),baselines,Find3D (Top-PCD),-,,655,880,0.16239610993420164,0.18701329506531905,0.5551128038411752,0.24309679061745898,0.02152596625053696,0.022885638186626475,0.3991227160667097,0.04002329072050071
baseline::PatchAlign3D (Default),baselines,PatchAlign3D (Default),-,,655,880,0.15935688296333003,0.1613154482190025,0.8933131867067728,0.24249147230494456,0.016551111133794934,0.01670316177344677,0.8948738159750875,0.031121570905324632
baseline::PatchAlign3D (Top-PCD),baselines,PatchAlign3D (Top-PCD),-,,655,880,0.15362353072757365,0.20250794603810204,0.3740878048932973,0.2294243259604894,0.022146247095145923,0.027804943029338416,0.17848729847018635,0.03989351634478689
mvgel::CAD_LISA::cliplora_cross_attention::top1,mvgel_vnms0,CAD_LISA,cliplora_cross_attention,1.0,655,880,0.4857419115786302,0.5697877453527775,0.6937144505489837,0.581678687531487,0.2867042360535339,0.3273817737582871,0.5470674575606272,0.35943390698345734
mvgel::CAD_LISA::cliplora_cross_attention::top3,mvgel_vnms0,CAD_LISA,cliplora_cross_attention,3.0,655,880,0.41622484737149584,0.46290590260955294,0.807052135940835,0.5371097766178613,0.22944977160873867,0.24620868824217818,0.7122311151908834,0.3186761196505355
mvgel::CAD_LISA::cliplora_cross_attention::top5,mvgel_vnms0,CAD_LISA,cliplora_cross_attention,5.0,655,880,0.37069052113256534,0.3988346071222834,0.8612000983051464,0.49256941974299845,0.17996904010711307,0.19157768883179965,0.7647800577383672,0.2668869442632149
mvgel::CAD_LISA::cliplora_film::top1,mvgel_vnms0,CAD_LISA,cliplora_film,1.0,655,880,0.5005212614007152,0.5884422952650175,0.7056824243762717,0.5975286100966557,0.2843691204932759,0.32641252487350336,0.5513846712734245,0.3577567889944807
mvgel::CAD_LISA::cliplora_film::top3,mvgel_vnms0,CAD_LISA,cliplora_film,3.0,655,880,0.41886445441734876,0.46873334440600095,0.8095516252951148,0.5404702235750277,0.22849265342145336,0.2484843909988729,0.7080782572057472,0.31714194088583425
